"Income 1974" "Taxes Paid 1974" "Income 1978" "Taxes Paid 1978"
"<5.000$" 41651643 2244467 19879622 689318
"5.000-9.999$" 146400740 13646348 122853315 8819461
"10.000-14.999$" 192688922 21449597 171858024 17155758
"15.000-99.999$" 470010790 75038230 865037814 137860951
">100.000$" 29427152 11311672 62806159 24051898
"Total" 880179247 123690314 1242434934 188577386
